Sample_ID	dry.weight.cob	dry.weight.plant	dry.weight.shoot	fresh.weight.cob	fresh.weight.shoot	stem.length	total.leaf.number
RT_111H	0	13.14	13.14	0	100.7	25	11
RT_114H	0	9.23	9.23	0	65.4	23.5	12
RT_115H	0	1.79	1.79	0	11.4	5	8
RT_116H	0	1.01	1.01	0	5.7	5	8
RT_118H	0	1.68	1.68	0	11.9	10	8
RT_119H	0	0.61	0.61	0	3.5	3.5	7
RT_11H	0	11	11	0	90.1	34	10
RT_120H	0	0.48	0.48	0	3.49	6	7
RT_121H	0	22.9	22.9	0	171.5	28	13
RT_122H	0	24.3	24.3	0	192.1	37	13
RT_123H	0	26.9	26.9	0	204.4	34	15
RT_124H	0	25.3	25.3	0	178.4	24	13
RT_125H	0	32.1	32.1	0	228.7	33.5	13
RT_126H	0	24.6	24.6	0	186.7	34	14
RT_127H	0	27.7	27.7	0	253.8	44	10
RT_128H	0	16.3	16.3	0	143.2	38	11
RT_129H	0	13.5	13.5	0	100.1	34	9
RT_130H	0	16.8	16.8	0	106.6	30	12
RT_131H	0	16	16	0	123.5	35	11
RT_132H	0	10.1	10.1	0	79.4	28	11
RT_133H	0	10.2	10.2	0	73.6	21	12
RT_134H	0	10.5	10.5	0	76	20	12
RT_135H	0	7.7	7.7	0	49.6	21	10
RT_138H	0	7	7	0	48.6	18	11
RT_13H	0	2.8	2.8	0	23.1	14.5	10
RT_140H	0	5.5	5.5	0	40.2	14	11
RT_141H	0	8.6	8.6	0	59.4	19	11
RT_142H	0	8	8	0	44.7	15	12
RT_143H	0	3.5	3.5	0	19.6	13	10
RT_144H	0	11.2	11.2	0	74.9	21	12
RT_147H	0	1	1	0	4	3.5	6
RT_148H	0	1.7	1.7	0	10	7.5	8
RT_149H	0	0.4	0.4	0	2.3	5	6
RT_14H	0	18.8	18.8	0	111.7	24	12
RT_151H	0	68.3	68.3	0	211.2	35.5	13
RT_152H	0	64.6	64.6	0	203.3	39	13
RT_153H	0	44.9	44.9	0	165.9	37	12
RT_154H	0	49.7	49.7	0	198.3	36	13
RT_155H	0	56	56	0	219.9	34	13
RT_156H	0	44	44	0	190.5	37	12
RT_157H	0	61.6	61.6	0	217.9	57	11
RT_158H	0	93.5	93.5	0	232.9	60	11
RT_159H	0	85.2	85.2	0	317.7	68	11
RT_15H	0	22.8	22.8	0	160.9	31	12
RT_160H	0	58.4	58.4	0	256.6	56	11
RT_161H	0	146.8	146.8	0	380.3	65	10
RT_162H	0	62	62	0	235.6	63	10
RT_164H	0	74.6	74.6	0	263.5	51	12
RT_165H	0	10.5	10.5	0	70.1	27.5	11
RT_166H	0	53.3	53.3	0	217.2	52	13
RT_167H	0	112.4	112.4	0	288.1	60	13
RT_168H	0	96.4	96.4	0	319.9	58	13
RT_170H	0	41	41	0	131.7	40	10
RT_171H	0	51.5	51.5	0	187.9	44	10
RT_172H	0	70.4	70.4	0	229	60	12
RT_173H	0	84.3	84.3	0	236.1	63	11
RT_174H	0	44.2	44.2	0	214.4	58	10
