Sample_ID	Genotype	Compartment	Field	Management	Plot	Position	Location	Stage	Run	Compartment_Stage	Compartment_Genotype	Compartment_Stage_Management	Compartment_Stage_Management_Plot	Compartment_Stage_Management_Genotype	Compartment_Stage_Management_Plot_Genotype
RT_32H	1_B73	Root	DEMO	NPK	23	NA	A1	Vegetative	bourceret_2018_001	Root_Vegetative	Root_1_B73	Root_Vegetative_NPK	Root_Vegetative_NPK_23	Root_Vegetative_NPK_1_B73	Root_Vegetative_NPK_23_1_B73
RT_33H	1_B73	Root	DEMO	NPK	23	NA	A1	Vegetative	bourceret_2018_001	Root_Vegetative	Root_1_B73	Root_Vegetative_NPK	Root_Vegetative_NPK_23	Root_Vegetative_NPK_1_B73	Root_Vegetative_NPK_23_1_B73
RT_37H	2_DK105	Root	DEMO	NPK	23	NA	A1	Vegetative	bourceret_2018_001	Root_Vegetative	Root_2_DK105	Root_Vegetative_NPK	Root_Vegetative_NPK_23	Root_Vegetative_NPK_2_DK105	Root_Vegetative_NPK_23_2_DK105
RT_38H	2_DK105	Root	DEMO	NPK	23	NA	A1	Vegetative	bourceret_2018_001	Root_Vegetative	Root_2_DK105	Root_Vegetative_NPK	Root_Vegetative_NPK_23	Root_Vegetative_NPK_2_DK105	Root_Vegetative_NPK_23_2_DK105
RT_39H	2_DK105	Root	DEMO	NPK	23	NA	A1	Vegetative	bourceret_2018_001	Root_Vegetative	Root_2_DK105	Root_Vegetative_NPK	Root_Vegetative_NPK_23	Root_Vegetative_NPK_2_DK105	Root_Vegetative_NPK_23_2_DK105
RT_43H	3_PH207	Root	DEMO	NPK	23	NA	A1	Vegetative	bourceret_2018_001	Root_Vegetative	Root_3_PH207	Root_Vegetative_NPK	Root_Vegetative_NPK_23	Root_Vegetative_NPK_3_PH207	Root_Vegetative_NPK_23_3_PH207
RT_44H	3_PH207	Root	DEMO	NPK	23	NA	A1	Vegetative	bourceret_2018_001	Root_Vegetative	Root_3_PH207	Root_Vegetative_NPK	Root_Vegetative_NPK_23	Root_Vegetative_NPK_3_PH207	Root_Vegetative_NPK_23_3_PH207
RT_45H	3_PH207	Root	DEMO	NPK	23	NA	A1	Vegetative	bourceret_2018_001	Root_Vegetative	Root_3_PH207	Root_Vegetative_NPK	Root_Vegetative_NPK_23	Root_Vegetative_NPK_3_PH207	Root_Vegetative_NPK_23_3_PH207
RH_25H	5_pht1;6	Rhizosphere	DEMO	NK	19	NA	A2	Vegetative	bourceret_2018_001	Rhizosphere_Vegetative	Rhizosphere_5_pht1;6	Rhizosphere_Vegetative_NK	Rhizosphere_Vegetative_NK_19	Rhizosphere_Vegetative_NK_5_pht1;6	Rhizosphere_Vegetative_NK_19_5_pht1;6
RH_26H	5_pht1;6	Rhizosphere	DEMO	NK	19	NA	A2	Vegetative	bourceret_2018_001	Rhizosphere_Vegetative	Rhizosphere_5_pht1;6	Rhizosphere_Vegetative_NK	Rhizosphere_Vegetative_NK_19	Rhizosphere_Vegetative_NK_5_pht1;6	Rhizosphere_Vegetative_NK_19_5_pht1;6
