Sample_ID	Genotype	Compartment	Field	Management	Plot	Position	Location	Stage	Run	Compartment_Stage	Compartment_Genotype	Compartment_Stage_Management	Compartment_Stage_Management_Plot	Compartment_Stage_Management_Genotype	Compartment_Stage_Management_Plot_Genotype
BK_504H	Soil	Bulksoil	DEMO	NPK	23	NA	A1	Vegetative	bourceret_2018_003	Bulksoil_Vegetative	Bulksoil_Soil	Bulksoil_Vegetative_NPK	Bulksoil_Vegetative_NPK_23	Bulksoil_Vegetative_NPK_Soil	Bulksoil_Vegetative_NPK_23_Soil
RT_4H	1_B73	Root	DEMO	NK	19	NA	A2	Vegetative	bourceret_2018_004	Root_Vegetative	Root_1_B73	Root_Vegetative_NK	Root_Vegetative_NK_19	Root_Vegetative_NK_1_B73	Root_Vegetative_NK_19_1_B73
RT_5H	1_B73	Root	DEMO	NK	19	NA	A2	Vegetative	bourceret_2018_004	Root_Vegetative	Root_1_B73	Root_Vegetative_NK	Root_Vegetative_NK_19	Root_Vegetative_NK_1_B73	Root_Vegetative_NK_19_1_B73
RT_6H	1_B73	Root	DEMO	NK	19	NA	A2	Vegetative	bourceret_2018_004	Root_Vegetative	Root_1_B73	Root_Vegetative_NK	Root_Vegetative_NK_19	Root_Vegetative_NK_1_B73	Root_Vegetative_NK_19_1_B73
RT_10H	2_DK105	Root	DEMO	NK	19	NA	A2	Vegetative	bourceret_2018_004	Root_Vegetative	Root_2_DK105	Root_Vegetative_NK	Root_Vegetative_NK_19	Root_Vegetative_NK_2_DK105	Root_Vegetative_NK_19_2_DK105
RT_11H	2_DK105	Root	DEMO	NK	19	NA	A2	Vegetative	bourceret_2018_004	Root_Vegetative	Root_2_DK105	Root_Vegetative_NK	Root_Vegetative_NK_19	Root_Vegetative_NK_2_DK105	Root_Vegetative_NK_19_2_DK105
RT_12H	2_DK105	Root	DEMO	NK	19	NA	A2	Vegetative	bourceret_2018_004	Root_Vegetative	Root_2_DK105	Root_Vegetative_NK	Root_Vegetative_NK_19	Root_Vegetative_NK_2_DK105	Root_Vegetative_NK_19_2_DK105
RT_16H	3_PH207	Root	DEMO	NK	19	NA	A2	Vegetative	bourceret_2018_004	Root_Vegetative	Root_3_PH207	Root_Vegetative_NK	Root_Vegetative_NK_19	Root_Vegetative_NK_3_PH207	Root_Vegetative_NK_19_3_PH207
RT_17H	3_PH207	Root	DEMO	NK	19	NA	A2	Vegetative	bourceret_2018_004	Root_Vegetative	Root_3_PH207	Root_Vegetative_NK	Root_Vegetative_NK_19	Root_Vegetative_NK_3_PH207	Root_Vegetative_NK_19_3_PH207
RT_18H	3_PH207	Root	DEMO	NK	19	NA	A2	Vegetative	bourceret_2018_004	Root_Vegetative	Root_3_PH207	Root_Vegetative_NK	Root_Vegetative_NK_19	Root_Vegetative_NK_3_PH207	Root_Vegetative_NK_19_3_PH207
RT_22H	4_F2	Root	DEMO	NK	19	NA	A2	Vegetative	bourceret_2018_004	Root_Vegetative	Root_4_F2	Root_Vegetative_NK	Root_Vegetative_NK_19	Root_Vegetative_NK_4_F2	Root_Vegetative_NK_19_4_F2
RT_23H	4_F2	Root	DEMO	NK	19	NA	A2	Vegetative	bourceret_2018_004	Root_Vegetative	Root_4_F2	Root_Vegetative_NK	Root_Vegetative_NK_19	Root_Vegetative_NK_4_F2	Root_Vegetative_NK_19_4_F2
RT_24H	4_F2	Root	DEMO	NK	19	NA	A2	Vegetative	bourceret_2018_004	Root_Vegetative	Root_4_F2	Root_Vegetative_NK	Root_Vegetative_NK_19	Root_Vegetative_NK_4_F2	Root_Vegetative_NK_19_4_F2
RH_4H	1_B73	Rhizosphere	DEMO	NK	19	NA	A2	Vegetative	bourceret_2018_004	Rhizosphere_Vegetative	Rhizosphere_1_B73	Rhizosphere_Vegetative_NK	Rhizosphere_Vegetative_NK_19	Rhizosphere_Vegetative_NK_1_B73	Rhizosphere_Vegetative_NK_19_1_B73
RH_5H	1_B73	Rhizosphere	DEMO	NK	19	NA	A2	Vegetative	bourceret_2018_004	Rhizosphere_Vegetative	Rhizosphere_1_B73	Rhizosphere_Vegetative_NK	Rhizosphere_Vegetative_NK_19	Rhizosphere_Vegetative_NK_1_B73	Rhizosphere_Vegetative_NK_19_1_B73
RH_6H	1_B73	Rhizosphere	DEMO	NK	19	NA	A2	Vegetative	bourceret_2018_004	Rhizosphere_Vegetative	Rhizosphere_1_B73	Rhizosphere_Vegetative_NK	Rhizosphere_Vegetative_NK_19	Rhizosphere_Vegetative_NK_1_B73	Rhizosphere_Vegetative_NK_19_1_B73
RH_10H	2_DK105	Rhizosphere	DEMO	NK	19	NA	A2	Vegetative	bourceret_2018_004	Rhizosphere_Vegetative	Rhizosphere_2_DK105	Rhizosphere_Vegetative_NK	Rhizosphere_Vegetative_NK_19	Rhizosphere_Vegetative_NK_2_DK105	Rhizosphere_Vegetative_NK_19_2_DK105
RH_11H	2_DK105	Rhizosphere	DEMO	NK	19	NA	A2	Vegetative	bourceret_2018_004	Rhizosphere_Vegetative	Rhizosphere_2_DK105	Rhizosphere_Vegetative_NK	Rhizosphere_Vegetative_NK_19	Rhizosphere_Vegetative_NK_2_DK105	Rhizosphere_Vegetative_NK_19_2_DK105
RH_12H	2_DK105	Rhizosphere	DEMO	NK	19	NA	A2	Vegetative	bourceret_2018_004	Rhizosphere_Vegetative	Rhizosphere_2_DK105	Rhizosphere_Vegetative_NK	Rhizosphere_Vegetative_NK_19	Rhizosphere_Vegetative_NK_2_DK105	Rhizosphere_Vegetative_NK_19_2_DK105
RH_16H	3_PH207	Rhizosphere	DEMO	NK	19	NA	A2	Vegetative	bourceret_2018_004	Rhizosphere_Vegetative	Rhizosphere_3_PH207	Rhizosphere_Vegetative_NK	Rhizosphere_Vegetative_NK_19	Rhizosphere_Vegetative_NK_3_PH207	Rhizosphere_Vegetative_NK_19_3_PH207
RH_17H	3_PH207	Rhizosphere	DEMO	NK	19	NA	A2	Vegetative	bourceret_2018_004	Rhizosphere_Vegetative	Rhizosphere_3_PH207	Rhizosphere_Vegetative_NK	Rhizosphere_Vegetative_NK_19	Rhizosphere_Vegetative_NK_3_PH207	Rhizosphere_Vegetative_NK_19_3_PH207
RH_18H	3_PH207	Rhizosphere	DEMO	NK	19	NA	A2	Vegetative	bourceret_2018_004	Rhizosphere_Vegetative	Rhizosphere_3_PH207	Rhizosphere_Vegetative_NK	Rhizosphere_Vegetative_NK_19	Rhizosphere_Vegetative_NK_3_PH207	Rhizosphere_Vegetative_NK_19_3_PH207
RH_22H	4_F2	Rhizosphere	DEMO	NK	19	NA	A2	Vegetative	bourceret_2018_004	Rhizosphere_Vegetative	Rhizosphere_4_F2	Rhizosphere_Vegetative_NK	Rhizosphere_Vegetative_NK_19	Rhizosphere_Vegetative_NK_4_F2	Rhizosphere_Vegetative_NK_19_4_F2
RH_23H	4_F2	Rhizosphere	DEMO	NK	19	NA	A2	Vegetative	bourceret_2018_004	Rhizosphere_Vegetative	Rhizosphere_4_F2	Rhizosphere_Vegetative_NK	Rhizosphere_Vegetative_NK_19	Rhizosphere_Vegetative_NK_4_F2	Rhizosphere_Vegetative_NK_19_4_F2
RH_24H	4_F2	Rhizosphere	DEMO	NK	19	NA	A2	Vegetative	bourceret_2018_004	Rhizosphere_Vegetative	Rhizosphere_4_F2	Rhizosphere_Vegetative_NK	Rhizosphere_Vegetative_NK_19	Rhizosphere_Vegetative_NK_4_F2	Rhizosphere_Vegetative_NK_19_4_F2
RT_28H	5_pht1;6	Root	DEMO	NK	19	NA	A2	Vegetative	bourceret_2018_004	Root_Vegetative	Root_5_pht1;6	Root_Vegetative_NK	Root_Vegetative_NK_19	Root_Vegetative_NK_5_pht1;6	Root_Vegetative_NK_19_5_pht1;6
RT_29H	5_pht1;6	Root	DEMO	NK	19	NA	A2	Vegetative	bourceret_2018_004	Root_Vegetative	Root_5_pht1;6	Root_Vegetative_NK	Root_Vegetative_NK_19	Root_Vegetative_NK_5_pht1;6	Root_Vegetative_NK_19_5_pht1;6
RT_30H	5_pht1;6	Root	DEMO	NK	19	NA	A2	Vegetative	bourceret_2018_004	Root_Vegetative	Root_5_pht1;6	Root_Vegetative_NK	Root_Vegetative_NK_19	Root_Vegetative_NK_5_pht1;6	Root_Vegetative_NK_19_5_pht1;6
RT_34H	1_B73	Root	DEMO	NPK	23	NA	A1	Vegetative	bourceret_2018_004	Root_Vegetative	Root_1_B73	Root_Vegetative_NPK	Root_Vegetative_NPK_23	Root_Vegetative_NPK_1_B73	Root_Vegetative_NPK_23_1_B73
RT_35H	1_B73	Root	DEMO	NPK	23	NA	A1	Vegetative	bourceret_2018_004	Root_Vegetative	Root_1_B73	Root_Vegetative_NPK	Root_Vegetative_NPK_23	Root_Vegetative_NPK_1_B73	Root_Vegetative_NPK_23_1_B73
RT_36H	1_B73	Root	DEMO	NPK	23	NA	A1	Vegetative	bourceret_2018_004	Root_Vegetative	Root_1_B73	Root_Vegetative_NPK	Root_Vegetative_NPK_23	Root_Vegetative_NPK_1_B73	Root_Vegetative_NPK_23_1_B73
RT_40H	2_DK105	Root	DEMO	NPK	23	NA	A1	Vegetative	bourceret_2018_004	Root_Vegetative	Root_2_DK105	Root_Vegetative_NPK	Root_Vegetative_NPK_23	Root_Vegetative_NPK_2_DK105	Root_Vegetative_NPK_23_2_DK105
RT_41H	2_DK105	Root	DEMO	NPK	23	NA	A1	Vegetative	bourceret_2018_004	Root_Vegetative	Root_2_DK105	Root_Vegetative_NPK	Root_Vegetative_NPK_23	Root_Vegetative_NPK_2_DK105	Root_Vegetative_NPK_23_2_DK105
RT_42H	2_DK105	Root	DEMO	NPK	23	NA	A1	Vegetative	bourceret_2018_004	Root_Vegetative	Root_2_DK105	Root_Vegetative_NPK	Root_Vegetative_NPK_23	Root_Vegetative_NPK_2_DK105	Root_Vegetative_NPK_23_2_DK105
RT_46H	3_PH207	Root	DEMO	NPK	23	NA	A1	Vegetative	bourceret_2018_004	Root_Vegetative	Root_3_PH207	Root_Vegetative_NPK	Root_Vegetative_NPK_23	Root_Vegetative_NPK_3_PH207	Root_Vegetative_NPK_23_3_PH207
RT_47H	3_PH207	Root	DEMO	NPK	23	NA	A1	Vegetative	bourceret_2018_004	Root_Vegetative	Root_3_PH207	Root_Vegetative_NPK	Root_Vegetative_NPK_23	Root_Vegetative_NPK_3_PH207	Root_Vegetative_NPK_23_3_PH207
RT_48H	3_PH207	Root	DEMO	NPK	23	NA	A1	Vegetative	bourceret_2018_004	Root_Vegetative	Root_3_PH207	Root_Vegetative_NPK	Root_Vegetative_NPK_23	Root_Vegetative_NPK_3_PH207	Root_Vegetative_NPK_23_3_PH207
RH_28H	5_pht1;6	Rhizosphere	DEMO	NK	19	NA	A2	Vegetative	bourceret_2018_004	Rhizosphere_Vegetative	Rhizosphere_5_pht1;6	Rhizosphere_Vegetative_NK	Rhizosphere_Vegetative_NK_19	Rhizosphere_Vegetative_NK_5_pht1;6	Rhizosphere_Vegetative_NK_19_5_pht1;6
RH_29H	5_pht1;6	Rhizosphere	DEMO	NK	19	NA	A2	Vegetative	bourceret_2018_004	Rhizosphere_Vegetative	Rhizosphere_5_pht1;6	Rhizosphere_Vegetative_NK	Rhizosphere_Vegetative_NK_19	Rhizosphere_Vegetative_NK_5_pht1;6	Rhizosphere_Vegetative_NK_19_5_pht1;6
RH_30H	5_pht1;6	Rhizosphere	DEMO	NK	19	NA	A2	Vegetative	bourceret_2018_004	Rhizosphere_Vegetative	Rhizosphere_5_pht1;6	Rhizosphere_Vegetative_NK	Rhizosphere_Vegetative_NK_19	Rhizosphere_Vegetative_NK_5_pht1;6	Rhizosphere_Vegetative_NK_19_5_pht1;6
RH_34H	1_B73	Rhizosphere	DEMO	NPK	23	NA	A1	Vegetative	bourceret_2018_004	Rhizosphere_Vegetative	Rhizosphere_1_B73	Rhizosphere_Vegetative_NPK	Rhizosphere_Vegetative_NPK_23	Rhizosphere_Vegetative_NPK_1_B73	Rhizosphere_Vegetative_NPK_23_1_B73
RH_35H	1_B73	Rhizosphere	DEMO	NPK	23	NA	A1	Vegetative	bourceret_2018_004	Rhizosphere_Vegetative	Rhizosphere_1_B73	Rhizosphere_Vegetative_NPK	Rhizosphere_Vegetative_NPK_23	Rhizosphere_Vegetative_NPK_1_B73	Rhizosphere_Vegetative_NPK_23_1_B73
RH_36H	1_B73	Rhizosphere	DEMO	NPK	23	NA	A1	Vegetative	bourceret_2018_004	Rhizosphere_Vegetative	Rhizosphere_1_B73	Rhizosphere_Vegetative_NPK	Rhizosphere_Vegetative_NPK_23	Rhizosphere_Vegetative_NPK_1_B73	Rhizosphere_Vegetative_NPK_23_1_B73
RH_40H	2_DK105	Rhizosphere	DEMO	NPK	23	NA	A1	Vegetative	bourceret_2018_004	Rhizosphere_Vegetative	Rhizosphere_2_DK105	Rhizosphere_Vegetative_NPK	Rhizosphere_Vegetative_NPK_23	Rhizosphere_Vegetative_NPK_2_DK105	Rhizosphere_Vegetative_NPK_23_2_DK105
RH_41H	2_DK105	Rhizosphere	DEMO	NPK	23	NA	A1	Vegetative	bourceret_2018_004	Rhizosphere_Vegetative	Rhizosphere_2_DK105	Rhizosphere_Vegetative_NPK	Rhizosphere_Vegetative_NPK_23	Rhizosphere_Vegetative_NPK_2_DK105	Rhizosphere_Vegetative_NPK_23_2_DK105
RH_42H	2_DK105	Rhizosphere	DEMO	NPK	23	NA	A1	Vegetative	bourceret_2018_004	Rhizosphere_Vegetative	Rhizosphere_2_DK105	Rhizosphere_Vegetative_NPK	Rhizosphere_Vegetative_NPK_23	Rhizosphere_Vegetative_NPK_2_DK105	Rhizosphere_Vegetative_NPK_23_2_DK105
RH_46H	3_PH207	Rhizosphere	DEMO	NPK	23	NA	A1	Vegetative	bourceret_2018_004	Rhizosphere_Vegetative	Rhizosphere_3_PH207	Rhizosphere_Vegetative_NPK	Rhizosphere_Vegetative_NPK_23	Rhizosphere_Vegetative_NPK_3_PH207	Rhizosphere_Vegetative_NPK_23_3_PH207
RH_47H	3_PH207	Rhizosphere	DEMO	NPK	23	NA	A1	Vegetative	bourceret_2018_004	Rhizosphere_Vegetative	Rhizosphere_3_PH207	Rhizosphere_Vegetative_NPK	Rhizosphere_Vegetative_NPK_23	Rhizosphere_Vegetative_NPK_3_PH207	Rhizosphere_Vegetative_NPK_23_3_PH207
RH_48H	3_PH207	Rhizosphere	DEMO	NPK	23	NA	A1	Vegetative	bourceret_2018_004	Rhizosphere_Vegetative	Rhizosphere_3_PH207	Rhizosphere_Vegetative_NPK	Rhizosphere_Vegetative_NPK_23	Rhizosphere_Vegetative_NPK_3_PH207	Rhizosphere_Vegetative_NPK_23_3_PH207
RT_52H	4_F2	Root	DEMO	NPK	23	NA	A1	Vegetative	bourceret_2018_004	Root_Vegetative	Root_4_F2	Root_Vegetative_NPK	Root_Vegetative_NPK_23	Root_Vegetative_NPK_4_F2	Root_Vegetative_NPK_23_4_F2
RT_53H	4_F2	Root	DEMO	NPK	23	NA	A1	Vegetative	bourceret_2018_004	Root_Vegetative	Root_4_F2	Root_Vegetative_NPK	Root_Vegetative_NPK_23	Root_Vegetative_NPK_4_F2	Root_Vegetative_NPK_23_4_F2
RT_54H	4_F2	Root	DEMO	NPK	23	NA	A1	Vegetative	bourceret_2018_004	Root_Vegetative	Root_4_F2	Root_Vegetative_NPK	Root_Vegetative_NPK_23	Root_Vegetative_NPK_4_F2	Root_Vegetative_NPK_23_4_F2
RT_58H	5_pht1;6	Root	DEMO	NPK	23	NA	A1	Vegetative	bourceret_2018_004	Root_Vegetative	Root_5_pht1;6	Root_Vegetative_NPK	Root_Vegetative_NPK_23	Root_Vegetative_NPK_5_pht1;6	Root_Vegetative_NPK_23_5_pht1;6
RT_59H	5_pht1;6	Root	DEMO	NPK	23	NA	A1	Vegetative	bourceret_2018_004	Root_Vegetative	Root_5_pht1;6	Root_Vegetative_NPK	Root_Vegetative_NPK_23	Root_Vegetative_NPK_5_pht1;6	Root_Vegetative_NPK_23_5_pht1;6
RT_60H	5_pht1;6	Root	DEMO	NPK	23	NA	A1	Vegetative	bourceret_2018_004	Root_Vegetative	Root_5_pht1;6	Root_Vegetative_NPK	Root_Vegetative_NPK_23	Root_Vegetative_NPK_5_pht1;6	Root_Vegetative_NPK_23_5_pht1;6
RT_64H	1_B73	Root	DOK	CONMIN	6	NA	B4	Vegetative	bourceret_2018_004	Root_Vegetative	Root_1_B73	Root_Vegetative_CONMIN	Root_Vegetative_CONMIN_6	Root_Vegetative_CONMIN_1_B73	Root_Vegetative_CONMIN_6_1_B73
RT_65H	1_B73	Root	DOK	CONMIN	6	NA	B4	Vegetative	bourceret_2018_004	Root_Vegetative	Root_1_B73	Root_Vegetative_CONMIN	Root_Vegetative_CONMIN_6	Root_Vegetative_CONMIN_1_B73	Root_Vegetative_CONMIN_6_1_B73
RT_66H	1_B73	Root	DOK	CONMIN	6	NA	B4	Vegetative	bourceret_2018_004	Root_Vegetative	Root_1_B73	Root_Vegetative_CONMIN	Root_Vegetative_CONMIN_6	Root_Vegetative_CONMIN_1_B73	Root_Vegetative_CONMIN_6_1_B73
RT_70H	2_DK105	Root	DOK	CONMIN	6	NA	B4	Vegetative	bourceret_2018_004	Root_Vegetative	Root_2_DK105	Root_Vegetative_CONMIN	Root_Vegetative_CONMIN_6	Root_Vegetative_CONMIN_2_DK105	Root_Vegetative_CONMIN_6_2_DK105
RT_71H	2_DK105	Root	DOK	CONMIN	6	NA	B4	Vegetative	bourceret_2018_004	Root_Vegetative	Root_2_DK105	Root_Vegetative_CONMIN	Root_Vegetative_CONMIN_6	Root_Vegetative_CONMIN_2_DK105	Root_Vegetative_CONMIN_6_2_DK105
RT_72H	2_DK105	Root	DOK	CONMIN	6	NA	B4	Vegetative	bourceret_2018_004	Root_Vegetative	Root_2_DK105	Root_Vegetative_CONMIN	Root_Vegetative_CONMIN_6	Root_Vegetative_CONMIN_2_DK105	Root_Vegetative_CONMIN_6_2_DK105
RH_52H	4_F2	Rhizosphere	DEMO	NPK	23	NA	A1	Vegetative	bourceret_2018_004	Rhizosphere_Vegetative	Rhizosphere_4_F2	Rhizosphere_Vegetative_NPK	Rhizosphere_Vegetative_NPK_23	Rhizosphere_Vegetative_NPK_4_F2	Rhizosphere_Vegetative_NPK_23_4_F2
RH_53H	4_F2	Rhizosphere	DEMO	NPK	23	NA	A1	Vegetative	bourceret_2018_004	Rhizosphere_Vegetative	Rhizosphere_4_F2	Rhizosphere_Vegetative_NPK	Rhizosphere_Vegetative_NPK_23	Rhizosphere_Vegetative_NPK_4_F2	Rhizosphere_Vegetative_NPK_23_4_F2
RH_54H	4_F2	Rhizosphere	DEMO	NPK	23	NA	A1	Vegetative	bourceret_2018_004	Rhizosphere_Vegetative	Rhizosphere_4_F2	Rhizosphere_Vegetative_NPK	Rhizosphere_Vegetative_NPK_23	Rhizosphere_Vegetative_NPK_4_F2	Rhizosphere_Vegetative_NPK_23_4_F2
RH_58H	5_pht1;6	Rhizosphere	DEMO	NPK	23	NA	A1	Vegetative	bourceret_2018_004	Rhizosphere_Vegetative	Rhizosphere_5_pht1;6	Rhizosphere_Vegetative_NPK	Rhizosphere_Vegetative_NPK_23	Rhizosphere_Vegetative_NPK_5_pht1;6	Rhizosphere_Vegetative_NPK_23_5_pht1;6
RH_59H	5_pht1;6	Rhizosphere	DEMO	NPK	23	NA	A1	Vegetative	bourceret_2018_004	Rhizosphere_Vegetative	Rhizosphere_5_pht1;6	Rhizosphere_Vegetative_NPK	Rhizosphere_Vegetative_NPK_23	Rhizosphere_Vegetative_NPK_5_pht1;6	Rhizosphere_Vegetative_NPK_23_5_pht1;6
RH_60H	5_pht1;6	Rhizosphere	DEMO	NPK	23	NA	A1	Vegetative	bourceret_2018_004	Rhizosphere_Vegetative	Rhizosphere_5_pht1;6	Rhizosphere_Vegetative_NPK	Rhizosphere_Vegetative_NPK_23	Rhizosphere_Vegetative_NPK_5_pht1;6	Rhizosphere_Vegetative_NPK_23_5_pht1;6
RH_64H	1_B73	Rhizosphere	DOK	CONMIN	6	NA	B4	Vegetative	bourceret_2018_004	Rhizosphere_Vegetative	Rhizosphere_1_B73	Rhizosphere_Vegetative_CONMIN	Rhizosphere_Vegetative_CONMIN_6	Rhizosphere_Vegetative_CONMIN_1_B73	Rhizosphere_Vegetative_CONMIN_6_1_B73
RH_65H	1_B73	Rhizosphere	DOK	CONMIN	6	NA	B4	Vegetative	bourceret_2018_004	Rhizosphere_Vegetative	Rhizosphere_1_B73	Rhizosphere_Vegetative_CONMIN	Rhizosphere_Vegetative_CONMIN_6	Rhizosphere_Vegetative_CONMIN_1_B73	Rhizosphere_Vegetative_CONMIN_6_1_B73
RH_66H	1_B73	Rhizosphere	DOK	CONMIN	6	NA	B4	Vegetative	bourceret_2018_004	Rhizosphere_Vegetative	Rhizosphere_1_B73	Rhizosphere_Vegetative_CONMIN	Rhizosphere_Vegetative_CONMIN_6	Rhizosphere_Vegetative_CONMIN_1_B73	Rhizosphere_Vegetative_CONMIN_6_1_B73
RH_70H	2_DK105	Rhizosphere	DOK	CONMIN	6	NA	B4	Vegetative	bourceret_2018_004	Rhizosphere_Vegetative	Rhizosphere_2_DK105	Rhizosphere_Vegetative_CONMIN	Rhizosphere_Vegetative_CONMIN_6	Rhizosphere_Vegetative_CONMIN_2_DK105	Rhizosphere_Vegetative_CONMIN_6_2_DK105
RH_71H	2_DK105	Rhizosphere	DOK	CONMIN	6	NA	B4	Vegetative	bourceret_2018_004	Rhizosphere_Vegetative	Rhizosphere_2_DK105	Rhizosphere_Vegetative_CONMIN	Rhizosphere_Vegetative_CONMIN_6	Rhizosphere_Vegetative_CONMIN_2_DK105	Rhizosphere_Vegetative_CONMIN_6_2_DK105
RH_72H	2_DK105	Rhizosphere	DOK	CONMIN	6	NA	B4	Vegetative	bourceret_2018_004	Rhizosphere_Vegetative	Rhizosphere_2_DK105	Rhizosphere_Vegetative_CONMIN	Rhizosphere_Vegetative_CONMIN_6	Rhizosphere_Vegetative_CONMIN_2_DK105	Rhizosphere_Vegetative_CONMIN_6_2_DK105
RT_76H	3_PH207	Root	DOK	CONMIN	6	NA	B4	Vegetative	bourceret_2018_004	Root_Vegetative	Root_3_PH207	Root_Vegetative_CONMIN	Root_Vegetative_CONMIN_6	Root_Vegetative_CONMIN_3_PH207	Root_Vegetative_CONMIN_6_3_PH207
RT_77H	3_PH207	Root	DOK	CONMIN	6	NA	B4	Vegetative	bourceret_2018_004	Root_Vegetative	Root_3_PH207	Root_Vegetative_CONMIN	Root_Vegetative_CONMIN_6	Root_Vegetative_CONMIN_3_PH207	Root_Vegetative_CONMIN_6_3_PH207
RT_78H	3_PH207	Root	DOK	CONMIN	6	NA	B4	Vegetative	bourceret_2018_004	Root_Vegetative	Root_3_PH207	Root_Vegetative_CONMIN	Root_Vegetative_CONMIN_6	Root_Vegetative_CONMIN_3_PH207	Root_Vegetative_CONMIN_6_3_PH207
RT_82H	4_F2	Root	DOK	CONMIN	6	NA	B4	Vegetative	bourceret_2018_004	Root_Vegetative	Root_4_F2	Root_Vegetative_CONMIN	Root_Vegetative_CONMIN_6	Root_Vegetative_CONMIN_4_F2	Root_Vegetative_CONMIN_6_4_F2
RT_83H	4_F2	Root	DOK	CONMIN	6	NA	B4	Vegetative	bourceret_2018_005	Root_Vegetative	Root_4_F2	Root_Vegetative_CONMIN	Root_Vegetative_CONMIN_6	Root_Vegetative_CONMIN_4_F2	Root_Vegetative_CONMIN_6_4_F2
RT_84H	4_F2	Root	DOK	CONMIN	6	NA	B4	Vegetative	bourceret_2018_005	Root_Vegetative	Root_4_F2	Root_Vegetative_CONMIN	Root_Vegetative_CONMIN_6	Root_Vegetative_CONMIN_4_F2	Root_Vegetative_CONMIN_6_4_F2
RT_88H	5_pht1;6	Root	DOK	CONMIN	6	NA	B4	Vegetative	bourceret_2018_005	Root_Vegetative	Root_5_pht1;6	Root_Vegetative_CONMIN	Root_Vegetative_CONMIN_6	Root_Vegetative_CONMIN_5_pht1;6	Root_Vegetative_CONMIN_6_5_pht1;6
RT_89H	5_pht1;6	Root	DOK	CONMIN	6	NA	B4	Vegetative	bourceret_2018_005	Root_Vegetative	Root_5_pht1;6	Root_Vegetative_CONMIN	Root_Vegetative_CONMIN_6	Root_Vegetative_CONMIN_5_pht1;6	Root_Vegetative_CONMIN_6_5_pht1;6
RT_90H	5_pht1;6	Root	DOK	CONMIN	6	NA	B4	Vegetative	bourceret_2018_005	Root_Vegetative	Root_5_pht1;6	Root_Vegetative_CONMIN	Root_Vegetative_CONMIN_6	Root_Vegetative_CONMIN_5_pht1;6	Root_Vegetative_CONMIN_6_5_pht1;6
RT_94H	1_B73	Root	DOK	CONMIN	56	NA	B2	Vegetative	bourceret_2018_005	Root_Vegetative	Root_1_B73	Root_Vegetative_CONMIN	Root_Vegetative_CONMIN_56	Root_Vegetative_CONMIN_1_B73	Root_Vegetative_CONMIN_56_1_B73
RT_95H	1_B73	Root	DOK	CONMIN	56	NA	B2	Vegetative	bourceret_2018_005	Root_Vegetative	Root_1_B73	Root_Vegetative_CONMIN	Root_Vegetative_CONMIN_56	Root_Vegetative_CONMIN_1_B73	Root_Vegetative_CONMIN_56_1_B73
RT_96H	1_B73	Root	DOK	CONMIN	56	NA	B2	Vegetative	bourceret_2018_005	Root_Vegetative	Root_1_B73	Root_Vegetative_CONMIN	Root_Vegetative_CONMIN_56	Root_Vegetative_CONMIN_1_B73	Root_Vegetative_CONMIN_56_1_B73
RH_76H	3_PH207	Rhizosphere	DOK	CONMIN	6	NA	B4	Vegetative	bourceret_2018_005	Rhizosphere_Vegetative	Rhizosphere_3_PH207	Rhizosphere_Vegetative_CONMIN	Rhizosphere_Vegetative_CONMIN_6	Rhizosphere_Vegetative_CONMIN_3_PH207	Rhizosphere_Vegetative_CONMIN_6_3_PH207
RH_77H	3_PH207	Rhizosphere	DOK	CONMIN	6	NA	B4	Vegetative	bourceret_2018_005	Rhizosphere_Vegetative	Rhizosphere_3_PH207	Rhizosphere_Vegetative_CONMIN	Rhizosphere_Vegetative_CONMIN_6	Rhizosphere_Vegetative_CONMIN_3_PH207	Rhizosphere_Vegetative_CONMIN_6_3_PH207
RH_78H	3_PH207	Rhizosphere	DOK	CONMIN	6	NA	B4	Vegetative	bourceret_2018_005	Rhizosphere_Vegetative	Rhizosphere_3_PH207	Rhizosphere_Vegetative_CONMIN	Rhizosphere_Vegetative_CONMIN_6	Rhizosphere_Vegetative_CONMIN_3_PH207	Rhizosphere_Vegetative_CONMIN_6_3_PH207
RH_82H	4_F2	Rhizosphere	DOK	CONMIN	6	NA	B4	Vegetative	bourceret_2018_005	Rhizosphere_Vegetative	Rhizosphere_4_F2	Rhizosphere_Vegetative_CONMIN	Rhizosphere_Vegetative_CONMIN_6	Rhizosphere_Vegetative_CONMIN_4_F2	Rhizosphere_Vegetative_CONMIN_6_4_F2
RH_83H	4_F2	Rhizosphere	DOK	CONMIN	6	NA	B4	Vegetative	bourceret_2018_005	Rhizosphere_Vegetative	Rhizosphere_4_F2	Rhizosphere_Vegetative_CONMIN	Rhizosphere_Vegetative_CONMIN_6	Rhizosphere_Vegetative_CONMIN_4_F2	Rhizosphere_Vegetative_CONMIN_6_4_F2
RH_84H	4_F2	Rhizosphere	DOK	CONMIN	6	NA	B4	Vegetative	bourceret_2018_005	Rhizosphere_Vegetative	Rhizosphere_4_F2	Rhizosphere_Vegetative_CONMIN	Rhizosphere_Vegetative_CONMIN_6	Rhizosphere_Vegetative_CONMIN_4_F2	Rhizosphere_Vegetative_CONMIN_6_4_F2
