PE.34.3	PE.36.6	PE.36.5	PE.36.4	PC.34.2	MGDG.34.3	PC.36.6	PC.36.4	MGDG.36.6	MGDG.36.5	DGDG.34.3	DGDG.34.2	DGDG.36.4	DAG.34.2	DAG.36.5	DAG.36.4	PE.36.2	PC.34.1	MGDG.34.2	MGDG.36.2	DGDG.34.1	DGDG.34.0	DGDG.36.2	DGDG.36.1	TAG.48.1	TAG.48.0	TAG.50.3	TAG.50.2	TAG.50.1	TAG.50.0	TAG.52.5	TAG.52.4	TAG.52.3	TAG.52.2	TAG.52.1	TAG.52.0	TAG.54.9	TAG.54.8	TAG.54.6	TAG.54.5	TAG.54.4	TAG.54.3	TAG.54.2	TAG.56.6	TAG.56.5	TAG.56.3	TAG.56.2	TAG.58.4	TAG.58.3	TAG.54.0	TAG.56.0	TAG.58.2	PS.38.1	PS.38.0	PS.40.2	PS.40.1	SQDG.32.0	SQDG.34.3	SQDG.34.2
OTU_505	8.85323389340632	6.81195252845619	13.6126898326343	9.05817009505642	11.8513262723041	2.60521560396471	9.08445188249707	12.1939897388301	8.39914494458957	12.3850650401524	12.4266371467928	11.0347520605616	5.19974904463403	1.84388850801612	2.96119050618295	0.741345227195498	10.6855682031543	9.57065404588335	12.6640682991289	16.1519329674164	6.8123961744362	20.4781359427466	15.0992021826123	18.079439494358	10.5813980125298	5.38195833787295	6.15148286493562	4.88756967534683	3.36184535523604	5.74802532457257	11.2047674418175	6.40471522876103	12.3488981526916	8.97154568399173	4.12649931873641	4.19449085918396	6.18741907922526	8.71949860178998	5.66003046306747	12.3190107914306	12.6835960481545	10.5153543492953	4.89787676184199	15.8548306932377	14.8417538604598	6.74858187258361	6.73013391390261	12.223658102822	10.1851638002708	5.80744125216992	6.74848923426236	7.29900560591129	8.44150278000354	3.66701378317526	10.4263325062594	2.75970683590527	6.73395789983499	7.80426958291629	7.95275528365061
OTU_16	8.33963991745792	14.0749810670144	11.919046647328	7.16358666227301	12.6739572173519	2.12881925351787	8.71716921857266	11.6519163151859	7.19561419071169	7.04094981556721	6.85642617131321	8.45554144938144	5.80507164002384	7.08973567856971	1.88789236942536	4.05300956838947	9.28475903086053	12.683134407851	7.05783069771908	10.7951418085479	5.00593245886028	9.18059304245724	12.2251962785289	10.4641860909718	7.28414667839113	7.99498223394099	7.73340900575832	7.8022352126771	7.42661418518116	7.54471537688917	6.97009096772866	7.10136580274317	11.8493346434676	11.0035099669756	8.98181713611421	6.24851840328984	10.5713788681983	12.5477182685404	6.80872956591842	11.9698330785084	12.2081941912013	10.8395662914704	8.89728621975005	10.7729636022483	12.9481531039434	10.0660806165669	6.84018686612253	10.5874417597868	10.2094495360805	6.12407584814025	7.50256596897388	10.3820354159228	4.651791241087	4.47664112919611	10.2532301108553	5.9555578646479	6.08735244725494	9.19593397951221	4.16619238880685
OTU_109	9.20537706150481	2.89751456817394	13.7337429236542	10.8219875690723	10.2629340618874	7.42108830374919	8.08367799221651	10.3967927199442	7.17797258420608	10.697217874322	8.11462645632744	10.5189094667145	11.6986410615201	1.41454902781922	4.62391080245984	9.19025061497272	9.40630663108477	8.2715830108951	12.2556655893718	10.1844683578691	12.284596501816	9.37103845561035	11.3042331674363	12.0559243688368	7.24391444032838	2.85182358275571	8.70904225069439	9.02553935768657	8.0401475670541	4.18744282927828	5.73706096258902	7.32848404201308	10.7592602355045	10.8577603323402	8.95099304835368	9.00355088019439	5.41050424330062	3.9151804646573	7.90086144777044	10.8021176214456	10.4138630067351	11.0030554358578	10.2208544715039	10.4128157451647	11.0341554696638	11.719867373534	12.280573845381	11.1341575416591	11.9631454388562	5.40038180891386	6.13744007790025	12.7303429838883	5.13318145096415	0.919528688187357	6.41799081504968	5.8091981204497	5.33027482084918	5.17148935247386	7.53465719392569
OTU_1	8.65832936355433	7.32389150630605	4.02315088869654	8.18533716287632	4.84028006457009	9.18510332744164	5.51821519606331	6.90888208124506	6.9229637574189	4.55215653212415	3.97175043565115	10.1657194710557	10.8132864465943	14.5977458651137	12.3212381484491	11.4524125841478	5.16544730667443	3.85517401532883	8.39152057445895	8.80771180182275	6.56952057756607	9.27914167667404	9.90715052489851	8.14026115152146	8.12389438623476	12.6242144247647	5.3098122075722	7.40479000830395	13.400242324614	17.9708123056624	3.8239684829658	6.91895153885601	5.96792483786901	8.27687487335619	12.804067774342	14.8424561065098	5.25139320822549	17.1166206806547	6.84329184473703	5.90937433577526	7.12302235803419	8.04894799143596	8.37893738329934	7.36719210979331	8.91221860757959	7.04952979992748	5.40162662639542	9.42684945737772	6.10970183932457	8.34111814278246	10.768590652566	7.07639385038127	10.3645704532351	8.06101874277735	13.5071747743171	7.91984595788917	10.1727223880255	4.90258388809882	8.44793927352352
OTU_12	7.15861171810093	12.0619200423308	11.1784261841069	10.2598182636944	19.0095938217615	2.18718907053767	9.74968850608674	12.8751832475442	4.81278575379194	8.00329496289365	7.78293560345221	7.62300628394758	10.9527167891832	6.91389739485041	1.78038733171603	2.75242813240179	11.4617041401152	12.0870079362243	5.58966701999424	6.39687202662193	3.97362491617056	15.2329037255449	7.05827020205821	8.31266532355317	6.40089735042091	6.66979812420678	5.2215854979489	4.68527941909942	4.50790567448208	6.32341988720021	6.5461701626478	9.77672281051125	8.49617871766423	8.20452619177156	5.83721301123438	4.04782423048078	10.2816693641277	10.8789412982865	6.9710580782022	10.5359047906208	7.56056260256016	7.31054267849683	6.75224788662087	7.39255714443595	11.9894335802075	6.74614993533111	4.04041813229632	10.0302495916038	8.23145175373577	3.7041329769249	6.56747543398487	7.9173296860025	6.47307157114047	6.69861715242218	8.86859454248814	13.2469672740591	8.51644079513024	12.7380639017405	9.24268248949634
OTU_93	2.03562516911138	4.30676339083549	3.06295417031035	6.10542240858494	3.25433803095382	5.38515936988688	13.4910015500081	7.60766249648623	9.03428632097284	3.72486591028097	6.19471185317948	7.93872457085303	9.25240576225029	14.786224924122	11.0884329349658	14.2770782091448	5.17857795866063	2.97507970506263	3.57884440027844	6.19375254855459	3.208711147883	2.29779548698944	6.9149400334535	3.14000324235673	18.7307948937752	12.9227624662284	3.33921732335005	12.8806079354595	11.8039006910501	16.8811324304814	2.90866874889121	7.45220738462597	6.52421142352121	11.1671078139051	10.694220713728	12.8039857784432	6.99253061620233	9.63626585286735	5.7293934291589	4.92830786611023	7.57267776340449	9.81067099951562	9.72611230619252	4.33456391544832	6.86599477889165	8.76188423185902	9.00512972640755	11.5345359799297	6.18033757104638	15.0089466391665	17.1757137578638	6.15030496959147	10.492645092228	2.67649682079112	7.48855873693615	8.07945715817289	9.72907452712726	4.28992043171944	6.41964494879693
OTU_89	3.32963978784047	1.13739094289751	0.630051304949357	2.08621803117253	3.06697284613403	2.59909520556427	11.7259228091358	3.22616563288435	4.56724523562867	3.52493527455911	4.45132968345882	1.90330137978249	2.19547588506317	22.2972469966534	22.0215494418859	24.4550209363489	1.57497696588885	7.47285558384687	17.1879334072283	9.87968070077309	3.03998056256529	8.53731133782422	1.95325751063185	2.2470493592983	9.79484245162623	18.3249628530885	3.61043460331049	5.36500945849223	7.36892156862959	24.1794561259945	-0.155509995128137	1.3325819238946	1.34066723369821	3.0051100790209	6.1980258461404	22.7769279159828	6.65208144043558	27.8287853481235	0.392984647823991	2.52849897058386	0.309757924135326	0.191155443982516	2.98170657484075	2.30370740020398	6.63328642417158	2.34691130827391	0.943414046916516	2.19625357351216	2.24466080529368	18.0027343972001	19.9084344065998	0.53985126262566	21.6490612769472	8.02658546771729	20.0949582909473	18.0906477925964	11.5796177299558	9.17722734646847	9.07638381622819
OTU_494	4.42476932055811	1.54490021032557	8.41092866718672	10.6255913546722	9.06854693261688	8.65147262258899	9.9627393737653	10.8785637742514	9.01580402305758	10.9058504026516	8.5789893832176	8.74210434780614	9.94396141100904	1.78533658318622	4.20838169481179	7.42996621002287	10.0857640561413	7.00071605471687	6.73485355462917	8.37073803034403	10.1545095355092	8.01540488048321	8.00621264480795	9.79472019007243	8.64021073878045	3.62945559321247	9.93956012243478	8.20945853165277	8.92785955765811	4.93081064967083	2.82144510170907	9.54215305965921	10.6819864948295	10.8127492528926	10.3586476692492	6.30113877887153	4.38733008750193	3.00700771685506	9.36370541601584	10.1854528606525	9.58754990561781	10.8575292914726	10.6694020257129	8.82535660557661	10.1702156224726	9.39897521896971	9.36513344465625	9.89411501660815	10.2878919175351	8.48944139314276	5.9950538885244	9.89000582271427	4.78486394942304	2.87693744687009	4.93240160545542	1.98994195054692	5.59669971635703	4.95304967799495	3.94863514483722
OTU_52	7.06561381795842	1.6967906113388	6.09031666213426	7.23260915185663	3.66402972058748	12.8670709033143	9.94236636731059	6.53170700007223	14.5233726845784	10.7864798242043	15.8379873484062	10.8936853927476	11.3500106691958	4.57906059235934	6.02558445368895	12.3583693520824	7.19374691393904	3.28243909725165	10.343007288936	12.4276366368286	12.359292253097	9.85529423997595	9.63492273382029	10.4687969839062	9.50876962688973	5.42369673901764	2.96273335363973	5.34708379953189	7.71298630258374	7.67691776259494	4.20844726505407	5.68490544490411	5.18542033933809	5.49287262143696	6.35216551143563	10.8404173938985	4.6100077066357	2.83909162465922	9.12450901798276	8.37871138096979	7.35133045418366	6.78009940502539	6.92367869442217	7.97256777716437	6.41416142599006	5.32157644775414	9.14315121756914	6.90246193821567	5.65859733139858	8.46542296764681	9.4621618202973	6.76388029943905	4.63832653411836	-0.596240905270686	3.05114071076908	4.56812007053027	9.20193333276633	0.145791447449191	3.81695793143195
OTU_30	12.3676016190845	14.9350954213759	10.400105695872	5.54714689166595	10.2345062392192	0.942035343184166	11.0260673312427	11.1330962944382	3.22494012539758	4.89633359914339	3.3147332404876	4.09427525618092	4.73855919522858	12.2432715703826	4.34059582202958	6.82416423024757	5.27780365384256	6.39985269543442	5.56429615248538	9.48079131767722	2.46939815068991	6.86614891610582	7.10085121217233	4.43580336067337	8.16179884632495	8.37374453400069	3.93280426266367	2.32762389511139	3.93335714208858	7.2627626001805	3.33694797478923	3.40082904632201	5.2391732049128	5.07151136707957	3.34734643774751	6.66432659932659	11.0575103658091	11.2361062426149	2.24828416954921	5.38841181864993	5.7023686472475	5.04157674782933	1.89656835546808	5.64995413985887	11.8816213343352	5.52752337849034	1.77119454201867	5.28365429834837	4.76660883535404	9.25708003488522	6.1122828788041	5.06668756136135	6.23603146765894	7.3969014866195	10.1183085557733	5.74120112861005	5.96009337573447	12.6560124822399	17.271189648177
