Group1	Group2	Significance	Sig	Kingdom	FDR	Sig_FDR
RP_NK_pht1;6	RP_NPK_pht1;6	0.00432900432900433	TRUE	Oomycetes	0.0216450216450216	TRUE
RP_NK_pht1;6	VG_NK_B73	0.17965367965368	FALSE	Oomycetes	0.2994227994228	FALSE
RP_NK_pht1;6	VG_NK_pht1;6	0.484848484848485	FALSE	Oomycetes	0.585161964472309	FALSE
RP_NK_pht1;6	VG_NPK_B73	0.00216450216450216	TRUE	Oomycetes	0.0142045454545454	TRUE
RP_NK_pht1;6	VG_NPK_pht1;6	0.0649350649350649	FALSE	Oomycetes	0.142045454545454	FALSE
RP_NPK_B73	RP_NPK_pht1;6	0.30952380952381	FALSE	Oomycetes	0.43918918918919	FALSE
RP_NPK_B73	VG_NK_B73	0.30952380952381	FALSE	Oomycetes	0.43918918918919	FALSE
RP_NPK_B73	VG_NK_pht1;6	0.0649350649350649	FALSE	Oomycetes	0.142045454545454	FALSE
RP_NPK_B73	VG_NPK_B73	0.025974025974026	TRUE	Oomycetes	0.0717703349282297	FALSE
RP_NPK_B73	VG_NPK_pht1;6	0.24025974025974	FALSE	Oomycetes	0.365612648221344	FALSE
RP_NPK_pht1;6	VG_NK_B73	0.0411255411255411	TRUE	Oomycetes	0.105321507760532	FALSE
RP_NPK_pht1;6	VG_NK_pht1;6	0.0151515151515152	TRUE	Oomycetes	0.0497159090909093	TRUE
RP_NPK_pht1;6	VG_NPK_B73	0.393939393939394	FALSE	Oomycetes	0.504434589800444	FALSE
RP_NPK_pht1;6	VG_NPK_pht1;6	0.818181818181818	FALSE	Oomycetes	0.85058505850585	FALSE
VG_NK_B73	VG_NK_pht1;6	0.699134199134199	FALSE	Oomycetes	0.756794751640112	FALSE
VG_NK_B73	VG_NPK_B73	0.025974025974026	TRUE	Oomycetes	0.0717703349282297	FALSE
VG_NK_B73	VG_NPK_pht1;6	0.24025974025974	FALSE	Oomycetes	0.365612648221344	FALSE
VG_NK_pht1;6	VG_NPK_B73	0.00216450216450216	TRUE	Oomycetes	0.0142045454545454	TRUE
VG_NK_pht1;6	VG_NPK_pht1;6	0.132034632034632	FALSE	Oomycetes	0.243221690590112	FALSE
VG_NPK_B73	VG_NPK_pht1;6	0.588744588744589	FALSE	Oomycetes	0.671936758893281	FALSE
