Stage	Management	Genotype_1	Genotype_2	p_value	Fold_change	Meta	Sig	FDR	Sig_FDR
VG	NK	B73	pht1;6	0.0714285714285714	-1.10439728684884	TAG.48.0	FALSE	0.126603934987168	FALSE
VG	NK	B73	pht1;6	0.428571428571429	-1.02510484287104	TAG.50.3	FALSE	0.535262206148283	FALSE
VG	NK	B73	pht1;6	0.401840684465483	-1.04993963052345	TAG.50.1	FALSE	0.514912738535857	FALSE
VG	NK	B73	pht1;6	0.0714285714285714	-1.07729987893972	TAG.50.0	FALSE	0.126603934987168	FALSE
VG	NK	B73	pht1;6	0.642857142857143	1.00973054832581	TAG.52.5	FALSE	0.731868131868132	FALSE
VG	NK	B73	pht1;6	0.857142857142857	-1.00218227928302	TAG.52.4	FALSE	0.915936049510057	FALSE
VG	NK	B73	pht1;6	0.0714285714285714	1.03566508052667	TAG.52.3	FALSE	0.126603934987168	FALSE
VG	NK	B73	pht1;6	1	1.01008657518798	TAG.52.2	FALSE	1	FALSE
VG	NK	B73	pht1;6	1	-1.01312853114497	TAG.52.1	FALSE	1	FALSE
VG	NK	B73	pht1;6	0.0714285714285714	-1.04819450564697	TAG.52.0	FALSE	0.126603934987168	FALSE
VG	NK	B73	pht1;6	0.142857142857143	1.04228187402662	TAG.54.9	FALSE	0.228571428571429	FALSE
VG	NK	B73	pht1;6	0.0714285714285714	1.03084444888045	TAG.54.8	FALSE	0.126603934987168	FALSE
VG	NK	B73	pht1;6	0.0714285714285714	1.03772190493484	TAG.54.5	FALSE	0.126603934987168	FALSE
VG	NK	B73	pht1;6	0.142857142857143	1.02111083880942	TAG.54.4	FALSE	0.228571428571429	FALSE
VG	NK	B73	pht1;6	0.642857142857143	1.0226197654688	TAG.54.3	FALSE	0.731868131868132	FALSE
VG	NK	B73	pht1;6	0.285714285714286	1.03202612963441	TAG.56.7	FALSE	0.406593406593407	FALSE
VG	NK	B73	pht1;6	1	-1.0065251743251	TAG.56.3	FALSE	1	FALSE
VG	NK	B73	pht1;6	0.285714285714286	-1.02906990377732	TAG.56.2	FALSE	0.406593406593407	FALSE
VG	NK	B73	pht1;6	0.142857142857143	1.02619126116237	TAG.60.5	FALSE	0.228571428571429	FALSE
VG	NK	B73	pht1;6	0.428571428571429	-1.01575580039789	TAG.54.0	FALSE	0.535262206148283	FALSE
VG	NK	B73	pht1;6	0.642857142857143	1.00572357798978	TAG.56.0	FALSE	0.731868131868132	FALSE
VG	NK	B73	pht1;6	0.642857142857143	1.0160617849641	PS.38.0	FALSE	0.731868131868132	FALSE
VG	NK	B73	pht1;6	0.142857142857143	1.0204062806755	PS.40.2	FALSE	0.228571428571429	FALSE
VG	NK	B73	pht1;6	0.142857142857143	1.05479426734531	PS.42.3	FALSE	0.228571428571429	FALSE
VG	NK	B73	pht1;6	0.0714285714285714	1.02563001512982	SQDG.32.0	FALSE	0.126603934987168	FALSE
VG	NK	B73	pht1;6	0.0714285714285714	1.05184788259197	SQDG.34.3	FALSE	0.126603934987168	FALSE
VG	NK	B73	pht1;6	0.0714285714285714	1.03496586511953	SQDG.34.2	FALSE	0.126603934987168	FALSE
VG	NK	B73	pht1;6	0.0714285714285714	1.02669121722975	SQDG.36.4	FALSE	0.126603934987168	FALSE
VG	NPK	B73	pht1;6	0.547619047619048	-1.00401433722549	PE.36.6	FALSE	0.66432474629196	FALSE
VG	NPK	B73	pht1;6	0.714285714285714	-1.00163258156975	PE.36.5	FALSE	0.79484425349087	FALSE
VG	NPK	B73	pht1;6	0.0476190476190476	-1.00564013931215	PE.36.4	TRUE	0.108424908424908	FALSE
VG	NPK	B73	pht1;6	0.0238095238095238	1.04873230094255	MGDG.34.3	TRUE	0.0686456400742116	FALSE
VG	NPK	B73	pht1;6	1	1.00433472586322	PC.36.6	FALSE	1	FALSE
VG	NPK	B73	pht1;6	0.904761904761905	-1.00002424767681	PC.36.4	FALSE	0.959890766342379	FALSE
VG	NPK	B73	pht1;6	0.364150265595905	1.00455909619911	MGDG.36.6	FALSE	0.494442562460495	FALSE
VG	NPK	B73	pht1;6	0.0238095238095238	1.01810860176046	MGDG.36.5	TRUE	0.0686456400742116	FALSE
VG	NPK	B73	pht1;6	0.0238095238095238	1.05262870374402	MGDG.36.4	TRUE	0.0686456400742116	FALSE
VG	NPK	B73	pht1;6	0.0238095238095238	1.02009225083928	DGDG.34.3	TRUE	0.0686456400742116	FALSE
VG	NPK	B73	pht1;6	0.0518217938321016	1.0062094818822	DGDG.34.2	FALSE	0.117093518887802	FALSE
VG	NPK	B73	pht1;6	0.0476190476190476	1.0079658602668	DGDG.36.6	TRUE	0.108424908424908	FALSE
VG	NPK	B73	pht1;6	0.0275318938756296	1.02639081598719	DGDG.36.4	TRUE	0.0714863209402312	FALSE
VG	NPK	B73	pht1;6	0.380952380952381	1.01309782036269	DAG.36.4	FALSE	0.506982872200264	FALSE
VG	NPK	B73	pht1;6	0.0238095238095238	1.02344582177938	PC.34.1	TRUE	0.0686456400742116	FALSE
VG	NPK	B73	pht1;6	0.0238095238095238	1.04679012716028	MGDG.34.2	TRUE	0.0686456400742116	FALSE
VG	NPK	B73	pht1;6	0.0238095238095238	1.12212058389976	MGDG.36.3_1	TRUE	0.0686456400742116	FALSE
VG	NPK	B73	pht1;6	0.0238095238095238	1.08817070487497	MGDG.36.2	TRUE	0.0686456400742116	FALSE
VG	NPK	B73	pht1;6	0.0238095238095238	1.02930255744844	DGDG.34.1	TRUE	0.0686456400742116	FALSE
VG	NPK	B73	pht1;6	0.0238095238095238	1.03855829202252	DGDG.36.2	TRUE	0.0686456400742116	FALSE
VG	NPK	B73	pht1;6	0.0238095238095238	1.04063601939437	DGDG.36.1	TRUE	0.0686456400742116	FALSE
VG	NPK	B73	pht1;6	0.0476190476190476	-1.1272314102799	TAG.48.1	TRUE	0.108424908424908	FALSE
VG	NPK	B73	pht1;6	0.0238095238095238	-1.09803638718681	TAG.48.0	TRUE	0.0686456400742116	FALSE
VG	NPK	B73	pht1;6	0.547619047619048	-1.03788736623705	TAG.50.3	FALSE	0.66432474629196	FALSE
VG	NPK	B73	pht1;6	0.0238095238095238	-1.09216362899165	TAG.50.1	TRUE	0.0686456400742116	FALSE
VG	NPK	B73	pht1;6	0.0238095238095238	-1.08767339199683	TAG.50.0	TRUE	0.0686456400742116	FALSE
VG	NPK	B73	pht1;6	0.714285714285714	1.00400206723036	TAG.52.5	FALSE	0.79484425349087	FALSE
VG	NPK	B73	pht1;6	0.904761904761905	-1.00068157326504	TAG.52.4	FALSE	0.959890766342379	FALSE
VG	NPK	B73	pht1;6	0.0952380952380952	1.01898431774247	TAG.52.3	FALSE	0.162950729424718	FALSE
VG	NPK	B73	pht1;6	0.0238095238095238	-1.03902332915644	TAG.52.2	TRUE	0.0686456400742116	FALSE
