Stage	Management	Genotype_1	Genotype_2	p_value	Fold_change	Meta
RP	NK	B73	pht1;6	0.0649350649350649	-1.01239378248024	TAG.54.3
RP	NK	B73	pht1;6	0.025974025974026	-1.04837058872846	TAG.56.7
RP	NK	B73	pht1;6	0.484848484848485	-1.01062526882977	TAG.56.3
RP	NK	B73	pht1;6	0.30952380952381	-1.01432883946731	TAG.56.2
RP	NK	B73	pht1;6	0.748348568843747	-1.00931296642971	TAG.60.5
RP	NK	B73	pht1;6	0.00216450216450216	-1.03787156256785	TAG.54.0
RP	NK	B73	pht1;6	0.00432900432900433	-1.05077909650993	TAG.56.0
RP	NK	B73	pht1;6	0.0649350649350649	1.04102461059651	PS.38.0
RP	NK	B73	pht1;6	0.0649350649350649	1.02359059814964	PS.40.2
RP	NK	B73	pht1;6	1	1.00347246842043	PS.42.3
RP	NK	B73	pht1;6	0.00216450216450216	1.0694797776673	SQDG.32.0
RP	NK	B73	pht1;6	0.00216450216450216	1.06534008649306	SQDG.34.3
RP	NK	B73	pht1;6	0.00216450216450216	1.05944705014497	SQDG.34.2
RP	NK	B73	pht1;6	0.00216450216450216	1.06333334574359	SQDG.36.4
RP	NPK	B73	pht1;6	0.108694580796525	1.01174200400588	PE.34.3
RP	NPK	B73	pht1;6	0.00812704263106845	1.03013844915084	PE.36.6
RP	NPK	B73	pht1;6	0.0151515151515152	1.02085353679117	PE.36.5
RP	NPK	B73	pht1;6	0.0151515151515152	1.0133216812919	PE.36.4
RP	NPK	B73	pht1;6	0.0161224153433004	1.01931925572	MGDG.34.3
RP	NPK	B73	pht1;6	0.00865800865800866	1.03189916894225	PC.36.6
RP	NPK	B73	pht1;6	0.025974025974026	1.01412150459615	PC.36.4
RP	NPK	B73	pht1;6	0.0151515151515152	1.01739548595235	MGDG.36.6
RP	NPK	B73	pht1;6	0.0151515151515152	1.01427175128784	MGDG.36.5
RP	NPK	B73	pht1;6	0.0102718377307058	1.02147439290178	MGDG.36.4
RP	NPK	B73	pht1;6	0.00216450216450216	1.02027432385165	DGDG.34.3
RP	NPK	B73	pht1;6	0.0161224153433004	1.01101029730175	DGDG.34.2
RP	NPK	B73	pht1;6	0.0303479417395604	1.02365923524959	DGDG.36.6
RP	NPK	B73	pht1;6	0.0129065704196534	1.01213261344795	DGDG.36.4
RP	NPK	B73	pht1;6	0.025974025974026	1.0159126257343	DAG.36.4
RP	NPK	B73	pht1;6	0.132034632034632	1.03833952335236	PC.34.1
RP	NPK	B73	pht1;6	0.0411255411255411	1.01302701332779	MGDG.34.2
RP	NPK	B73	pht1;6	0.00865800865800866	1.04290480017707	MGDG.36.3_1
RP	NPK	B73	pht1;6	0.108694580796525	1.00898948244503	MGDG.36.2
RP	NPK	B73	pht1;6	0.0151515151515152	1.02840248514347	DGDG.34.1
RP	NPK	B73	pht1;6	0.0649350649350649	1.01055933088047	DGDG.36.2
RP	NPK	B73	pht1;6	0.00499812476508246	1.02882006089461	DGDG.36.1
RP	NPK	B73	pht1;6	0.0200223867508669	-1.03329943194845	TAG.48.1
RP	NPK	B73	pht1;6	0.025974025974026	-1.01857726462694	TAG.48.0
RP	NPK	B73	pht1;6	0.00216450216450216	-1.04103902226674	TAG.50.3
RP	NPK	B73	pht1;6	0.588744588744589	1.00631426697986	TAG.50.1
RP	NPK	B73	pht1;6	0.132034632034632	-1.00768921135298	TAG.50.0
RP	NPK	B73	pht1;6	0.025974025974026	1.02375236245843	TAG.52.5
RP	NPK	B73	pht1;6	0.0303479417395604	1.02177196089416	TAG.52.4
RP	NPK	B73	pht1;6	0.00216450216450216	1.05250556889879	TAG.52.3
