Kingdom	Phylum	Class	Order	Family	Genus
ASV_220	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Streptomycetaceae	Streptomyces
ASV_221	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
ASV_222	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Propionibacteriaceae	Microlunatus
ASV_223	Bacteria	Acidobacteria	Acidobacteria_Gp1	Telmatobacter	NA	NA
ASV_224	Bacteria	Chloroflexi	NA	NA	NA	NA
ASV_225	Bacteria	Chloroflexi	NA	NA	NA	NA
ASV_226	Bacteria	Chloroflexi	NA	NA	NA	NA
ASV_227	Bacteria	Proteobacteria	Betaproteobacteria	NA	NA	NA
ASV_228	Bacteria	Actinobacteria	NA	NA	NA	NA
ASV_229	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Labilitrichaceae	Labilithrix
ASV_230	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Roseateles
ASV_231	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Pelomonas
ASV_232	Bacteria	Chloroflexi	NA	NA	NA	NA
ASV_233	Bacteria	Chloroflexi	NA	NA	NA	NA
ASV_234	Bacteria	Chloroflexi	NA	NA	NA	NA
ASV_235	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Chryseolinea	NA
ASV_236	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas
ASV_237	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Polyangiaceae	Byssovorax
ASV_238	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Streptosporangiaceae	Nonomuraea
ASV_239	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Rhizobium
ASV_240	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Micrococcaceae	Arthrobacter
ASV_241	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Rhizobium
ASV_242	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia
ASV_243	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Phyllobacteriaceae	Mesorhizobium
ASV_244	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Chryseobacterium
ASV_245	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas
ASV_246	Bacteria	Chloroflexi	NA	NA	NA	NA
ASV_247	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiales_incertae_sedis	Aquabacterium
ASV_248	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Chryseobacterium
ASV_249	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Pseudonocardiaceae	Amycolatopsis
ASV_250	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Streptomycetaceae	Streptomyces
ASV_251	Bacteria	Proteobacteria	Betaproteobacteria	NA	NA	NA
ASV_252	Bacteria	Proteobacteria	Betaproteobacteria	Rhodocyclales	Rhodocyclaceae	NA
ASV_253	Bacteria	Chloroflexi	NA	NA	NA	NA
ASV_254	Bacteria	Actinobacteria	Actinobacteria	Gaiellales	Gaiellaceae	Gaiella
ASV_255	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Streptomycetaceae	Kitasatospora
ASV_256	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Rhizobium
ASV_257	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Dongia
ASV_258	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Micromonosporaceae	Dactylosporangium
ASV_259	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Ramlibacter
ASV_260	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Rhodanobacter
ASV_261	Bacteria	Chloroflexi	NA	NA	NA	NA
